valor_origen,valor_canonico,accion,confianza,nota
Parque Nacional Isla Magdalena terrestre,Parque Nacional Isla Magdalena (sector terrestre),ortografia,media,El calificador de sector entre paréntesis.
Parque Nacional Kawesqar,Parque Nacional Kawésqar,ortografia,alta,Tilde.
Parque Nacional La Campana,Parque Nacional La Campana,sin_cambio,alta,Sin observaciones
Parque Nacional Laguna San Rafael,Parque Nacional Laguna San Rafael,sin_cambio,alta,Sin observaciones
Parque Nacional Llullaillaco,Parque Nacional Llullaillaco,sin_cambio,alta,Sin observaciones
Parque Nacional Melimoyu,Parque Nacional Melimoyu,sin_cambio,alta,Sin observaciones
Parque Nacional Morro Moreno,Parque Nacional Morro Moreno,sin_cambio,alta,Sin observaciones
Parque Nacional Nahuelbuta,Parque Nacional Nahuelbuta,fusion,alta,Absorbe «Nahuelbuta».
Parque Nacional Pali Aike,Parque Nacional Pali Aike,sin_cambio,alta,Sin observaciones
Parque Nacional Palmas de Cocalán,Parque Nacional Palmas de Cocalán,sin_cambio,alta,Sin observaciones
Parque Nacional Pan de Azúcar,Parque Nacional Pan de Azúcar,fusion,alta,Absorbe «Pan de Azúcar».
Parque Nacional Patagonia,Parque Nacional Patagonia,sin_cambio,alta,Sin observaciones
Parque Nacional Pumalín,Parque Nacional Pumalín,sin_cambio,alta,Sin observaciones
Parque Nacional Puyehue,Parque Nacional Puyehue,sin_cambio,alta,Sin observaciones
Parque Nacional Queulat,Parque Nacional Queulat,sin_cambio,alta,Sin observaciones
Parque Nacional Río Clarillo,Parque Nacional Río Clarillo,sin_cambio,alta,Sin observaciones
Parque Nacional Tolhuaca,Parque Nacional Tolhuaca,sin_cambio,alta,Sin observaciones
Parque Nacional Torres del Paine,Parque Nacional Torres del Paine,sin_cambio,alta,Sin observaciones
Parque Nacional Vicente Perez Rosal,Parque Nacional Vicente Pérez Rosales,ortografia,media,Nombre oficial incompleto además de la tilde. Confirmar con SNASPE.
Parque Nacional Villarrica,Parque Nacional Villarrica,sin_cambio,alta,Sin observaciones
Parque Nacional Volcán Isluga,Parque Nacional Volcán Isluga,sin_cambio,alta,Sin observaciones
Parque Nacional Yendegaia,Parque Nacional Yendegaia,sin_cambio,alta,Sin observaciones
Pinguino de Humboldt,Reserva Nacional Pingüino de Humboldt,prefijo,alta,Se antepone la categoría y se repone la diéresis.
Radal Siete Tazas,Parque Nacional Radal Siete Tazas,prefijo,alta,Se antepone la categoría.
Ralco,Reserva Nacional Ralco,prefijo,alta,Se antepone la categoría.
Reserva Nacional Alto Bio Bio,Reserva Nacional Alto Biobío,ortografia,media,Grafía oficial del topónimo. Confirmar con SNASPE.
Reserva Nacional China Muerta,Reserva Nacional China Muerta,sin_cambio,alta,Sin observaciones
Reserva Nacional Coyhaique,Reserva Nacional Coyhaique,sin_cambio,alta,Sin observaciones
Reserva Nacional El Yali,Reserva Nacional El Yali,sin_cambio,alta,Sin observaciones
Reserva Nacional Futaleufu,Reserva Nacional Futaleufú,ortografia,alta,Tilde.
Reserva Nacional Katalalixar,Reserva Nacional Katalalixar,sin_cambio,alta,Sin observaciones
Reserva Nacional La Chimba,Reserva Nacional La Chimba,sin_cambio,alta,Sin observaciones
Reserva Nacional Lago Carlota,Reserva Nacional Lago Carlota,sin_cambio,alta,Sin observaciones
Reserva Nacional Lago Las Torres,Reserva Nacional Lago Las Torres,sin_cambio,alta,Sin observaciones
Reserva Nacional Lago Palena,Reserva Nacional Lago Palena,sin_cambio,alta,Sin observaciones
Reserva Nacional Lago Rosselot,Reserva Nacional Lago Rosselot,sin_cambio,alta,Sin observaciones
Reserva Nacional Laguna Parrillar,Reserva Nacional Laguna Parrillar,sin_cambio,alta,Sin observaciones
Reserva Nacional Las Guaitecas,Reserva Nacional Las Guaitecas,sin_cambio,alta,Sin observaciones
Reserva Nacional Llanquihue,Reserva Nacional Llanquihue,sin_cambio,alta,Sin observaciones
Reserva Nacional Los Flamencos,Reserva Nacional Los Flamencos,sin_cambio,alta,Sin observaciones
Reserva Nacional Los Huemules Del Niblinto,Reserva Nacional Los Huemules de Niblinto,ortografia,media,Preposición del nombre oficial. Confirmar con SNASPE.
Reserva Nacional Magallanes,Reserva Nacional Magallanes,sin_cambio,alta,Sin observaciones
Reserva Nacional Malalcahuello,Reserva Nacional Malalcahuello,sin_cambio,alta,Sin observaciones
Reserva Nacional Malleco,Reserva Nacional Malleco,sin_cambio,alta,Sin observaciones
Reserva Nacional Mocho Choshuenco,Reserva Nacional Mocho-Choshuenco,ortografia,media,Guion del nombre oficial. Confirmar con SNASPE.
Reserva Nacional Nalcas,Reserva Nacional Nalcas,sin_cambio,alta,Sin observaciones
Reserva Nacional Nuble,Reserva Nacional Ñuble,fusion,alta,Se une con «Nuble».
Reserva Nacional Pampa del Tamarugal,Reserva Nacional Pampa del Tamarugal,sin_cambio,alta,Sin observaciones
Reserva Nacional Penuelas,Reserva Nacional Peñuelas,ortografia,alta,Falta la ñ.
Reserva Nacional Rio Blanco,Reserva Nacional Río Blanco,ortografia,alta,Tilde.
Reserva Nacional Rio Simpson,Reserva Nacional Río Simpson,ortografia,alta,Tilde.
Reserva Nacional Robleria del Cobre Loncha,Reserva Nacional Roblería del Cobre de Loncha,ortografia,media,Tilde y preposición del nombre oficial. Confirmar con SNASPE.
Reserva Nacional Río Los Cipreses,Reserva Nacional Río Los Cipreses,sin_cambio,alta,Sin observaciones
Reserva Nacional Trapananda,Reserva Nacional Trapananda,sin_cambio,alta,Sin observaciones
Reserva Nacional Villarrica,Reserva Nacional Villarrica,sin_cambio,alta,Sin observaciones
