cod_origen,cod_canonico,especie_origen,especie_canonica,cientifico_origen,cientifico_canonico,genero_canonico,accion,confianza,nota
A37,A37,Adesmia pauciflora,Adesmia pauciflora,Adesmia pauciflora,Adesmia pauciflora,Adesmia,sin_cambio,alta,Sin observaciones
a56,a56,Adesmia rahmeri,Adesmia rahmeri,Adesmia rahmeri,Adesmia rahmeri,Adesmia,sin_cambio,alta,Sin observaciones
A20,A20,Adesmia rubroviridis,Adesmia rubroviridis,Adesmia rubroviridis,Adesmia rubroviridis,Adesmia,sin_cambio,alta,Sin observaciones
A38,A38,Adesmia schneideri,Adesmia schneideri,Adesmia schneideri,Adesmia schneideri,Adesmia,sin_cambio,alta,Sin observaciones
A21,A21,Adesmia subterranea,Adesmia subterranea,Adesmia subterranea,Adesmia subterranea,Adesmia,sin_cambio,alta,Sin observaciones
A11,A11,Adesmia verrucosa,Adesmia verrucosa,Adesmia verrucosa,Adesmia verrucosa,Adesmia,sin_cambio,alta,Sin observaciones
a19,a19,Agrostis capilaris,Agrostis capilaris,Agrostis capilaris,Agrostis capillaris,Agrostis,ortografia,media,"Epíteto con una sola «l»: el válido es Agrostis capillaris, que ya existe en el diccionario con el código a35. Es la misma especie bajo dos códigos (a19 y a35): decidir cuál se conserva antes de corregir la grafía, o quedarán dos entradas idénticas."
a35,a35,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,Agrostis,sin_cambio,alta,Sin observaciones
a53,a53,Agrostis leptotricha,Agrostis leptotricha,Agrostis leptotricha,Agrostis leptotricha,Agrostis,sin_cambio,alta,Sin observaciones
a20,a20,Agrostis sp.,Agrostis sp.,Agrostis sp.,Agrostis sp.,Agrostis,sin_cambio,alta,Sin observaciones
a54,a54,Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera,Agrostis,sin_cambio,alta,Sin observaciones
t14,t14,Aguanosa,Aguanosa,Tetragonia microcarpa,Tetragonia microcarpa,Tetragonia,sin_cambio,alta,Sin observaciones
ac,ac,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Aira,sin_cambio,alta,Sin observaciones
a55,a55,Aira praecox,Aira praecox,Aira praecox,Aira praecox,Aira,sin_cambio,alta,Sin observaciones
PZ,PZ,álamo,álamo,Populus sp.,Populus sp.,Populus,sin_cambio,alta,Sin observaciones
PI,PI,álamo,álamo,Populus nigra,Populus nigra,Populus,sin_cambio,alta,Sin observaciones
PH,PH,álamo,álamo,Populus alba,Populus alba,Populus,sin_cambio,alta,Sin observaciones
Sd,Sd,alcaparra,alcaparra,Senna cumingii,Senna cumingii,Senna,sin_cambio,alta,Sin observaciones
vr,vr,Aldama revoluta,Aldama revoluta,Aldama revoluta,Aldama revoluta,Aldama,sin_cambio,alta,Sin observaciones
FC,FC,alerce,alerce,Fitzroya cupressoides,Fitzroya cupressoides,Fitzroya,sin_cambio,alta,Sin observaciones
al,al,alfalfa,alfalfa,Medicago sativa,Medicago sativa,Medicago,sin_cambio,alta,Sin observaciones
lc,lc,alfalfa chilota,alfalfa chilota,Lotus corniculatus,Lotus corniculatus,Lotus,sin_cambio,alta,Sin observaciones
ec,ec,alfilerillo,alfilerillo,Erodium cicutarium,Erodium cicutarium,Erodium,sin_cambio,alta,Sin observaciones
eh,eh,alfilerillo,alfilerillo,Erodium moschatum,Erodium moschatum,Erodium,sin_cambio,alta,Sin observaciones
eb,eb,alfilerillo,alfilerillo,Erodium botrys,Erodium botrys,Erodium,sin_cambio,alta,Sin observaciones
Bz,Bz,algarrobilla,algarrobilla,Balsamocarpon brevifolium,Balsamocarpon brevifolium,Balsamocarpon,sin_cambio,alta,Sin observaciones
PC,PC,algarrobo,algarrobo,Prosopis chilensis,Prosopis chilensis,Prosopis,sin_cambio,alta,Sin observaciones
PP,PP,algarrobo del norte,algarrobo del norte,Prosopis alba,Prosopis alba,Prosopis,sin_cambio,alta,Sin observaciones
AG,AG,aliso,aliso,Alnus glutinosa,Alnus glutinosa,Alnus,sin_cambio,alta,Sin observaciones
Fa,Fa,alma tola,alma tola,Fabiana denudata,Fabiana denudata,Fabiana,sin_cambio,alta,Sin observaciones
mn,mn,almizcle,almizcle,Moscharia pinnatifida,Moscharia pinnatifida,Moscharia,sin_cambio,alta,Sin observaciones
A31,A31,Alona deserticola,Alona deserticola,Alona deserticola,Alona deserticola,Alona,sin_cambio,alta,Sin observaciones
am2,am2,Alopecurus magellanicus,Alopecurus magellanicus,Alopecurus magellanicus,Alopecurus magellanicus,Alopecurus,sin_cambio,alta,Sin observaciones
a38,a38,Alopecurus pratensis,Alopecurus pratensis,Alopecurus pratensis,Alopecurus pratensis,Alopecurus,sin_cambio,alta,Sin observaciones
a62,a62,Alopecurus sp.,Alopecurus sp.,Alopecurus sp.,Alopecurus sp.,Alopecurus,sin_cambio,alta,Sin observaciones
A13,A13,Aloysia deserticola,Aloysia deserticola,Aloysia deserticola,Aloysia deserticola,Aloysia,sin_cambio,alta,Sin observaciones
Bd,Bd,Amancae,Amancae,Balbisia microphylla,Balbisia microphylla,Balbisia,sin_cambio,alta,Sin observaciones
Ba,Ba,amancay,amancay,Balbisia peduncularis,Balbisia peduncularis,Balbisia,sin_cambio,alta,Sin observaciones
ay,ay,Amblyopappus pusillus,Amblyopappus pusillus,Amblyopappus pusillus,Amblyopappus pusillus,Amblyopappus,sin_cambio,alta,Sin observaciones
Ak,Ak,Ambrosia,Ambrosia,Ambrosia artemisioides,Ambrosia artemisioides,Ambrosia,sin_cambio,alta,Sin observaciones
a21,a21,Ambrosia chamissonis,Ambrosia chamissonis,Ambrosia chamissonis,Ambrosia chamissonis,Ambrosia,sin_cambio,alta,Sin observaciones
tf,tf,amores secos,amores secos,Acaena sericea,Acaena sericea,Acaena,sin_cambio,alta,Sin observaciones
a22,a22,Amphiscirpus nevadensis,Amphiscirpus nevadensis,Amphiscirpus nevadensis,Amphiscirpus nevadensis,Amphiscirpus,sin_cambio,alta,Sin observaciones
a23,a23,Amsinckia calycina,Amsinckia calycina,Amsinckia calycina,Amsinckia calycina,Amsinckia,sin_cambio,alta,Sin observaciones
Au,Au,anahua,anahua,Adesmia horrida,Adesmia horrida,Adesmia,sin_cambio,alta,Sin observaciones
Zx,Zx,anahuilla,anahuilla,Adesmia spinosissima,Adesmia spinosissima,Adesmia,sin_cambio,alta,Sin observaciones
Ni,Ni,Anarthrophyllum andicolum,Anarthrophyllum andicolum,Anarthrophyllum andicolum,Anarthrophyllum andicolum,Anarthrophyllum,sin_cambio,alta,Sin observaciones
A26,A26,Anarthrophyllum cumingii,Anarthrophyllum cumingii,Anarthrophyllum cumingii,Anarthrophyllum cumingii,Anarthrophyllum,sin_cambio,alta,Sin observaciones
A33,A33,Anarthrophyllum desideratum,Anarthrophyllum desideratum,Anarthrophyllum desideratum,Anarthrophyllum desideratum,Anarthrophyllum,sin_cambio,alta,Sin observaciones
Ng,Ng,Anarthrophyllum gayanum,Anarthrophyllum gayanum,Anarthrophyllum gayanum,Anarthrophyllum gayanum,Anarthrophyllum,sin_cambio,alta,Sin observaciones
T3,T3,Añawaya,Añawaya,Tetraglochin cristatum,Tetraglochin cristatum,Tetraglochin,sin_cambio,alta,Sin observaciones
af,af,Anemone multifida,Anemone multifida,Anemone multifida,Anemone multifida,Anemone,sin_cambio,alta,Sin observaciones
ni,ni,Antennaria chilensis,Antennaria chilensis,Antennaria chilensis,Antennaria chilensis,Antennaria,sin_cambio,alta,Sin observaciones
a24,a24,Anthemis cotula,Anthemis cotula,Anthemis cotula,Anthemis cotula,Anthemis,sin_cambio,alta,Sin observaciones
aj,aj,Anthemis inodora,Anthemis inodora,Anthemis inodora,Anthemis inodora,Anthemis,sin_cambio,alta,Sin observaciones
a39,a39,Anthoxanthum redolens,Anthoxanthum redolens,Anthoxanthum redolens,Anthoxanthum redolens,Anthoxanthum,sin_cambio,alta,Sin observaciones
ac3,ac3,Anthriscus caucalis,Anthriscus caucalis,Anthriscus caucalis,Anthriscus caucalis,Anthriscus,sin_cambio,alta,Sin observaciones
Ze,Ze,Aphyllocladus denticulatus,Aphyllocladus denticulatus,Aphyllocladus denticulatus,Aphyllocladus denticulatus,Aphyllocladus,sin_cambio,alta,Sin observaciones
iu,iu,apium,apium,Apium australe,Apium australe,Apium,sin_cambio,alta,Sin observaciones
ac4,ac4,Apodasmia chilensis,Apodasmia chilensis,Apodasmia chilensis,Apodasmia chilensis,Apodasmia,sin_cambio,alta,Sin observaciones
LL,LL,arce,arce,Acer sp.,Acer sp.,Acer,sin_cambio,alta,Sin observaciones
as2,as2,Arenaria serpens,Arenaria serpens,Arenaria serpens,Arenaria serpens,Arenaria,sin_cambio,alta,Sin observaciones
a14,a14,Aristida adscensionis,Aristida adscensionis,Aristida adscensionis,Aristida adscensionis,Aristida,sin_cambio,alta,Sin observaciones
ar,ar,Armeria maritima,Armeria maritima,Armeria maritima,Armeria maritima,Armeria,sin_cambio,alta,Sin observaciones
AR,AR,aromo,aromo,Acacia melanoxylon,Acacia melanoxylon,Acacia,sin_cambio,alta,Sin observaciones
AD,AD,aromo,aromo,Acacia dealbata,Acacia dealbata,Acacia,sin_cambio,alta,Sin observaciones
Al,Al,aromo,aromo,Azara lanceolata,Azara lanceolata,Azara,sin_cambio,alta,Sin observaciones
LA,LA,arrayán,arrayán,Luma apiculata,Luma apiculata,Luma,sin_cambio,alta,Sin observaciones
Rs,Rs,arrayán macho,arrayán macho,Rhaphithamnus spinosus,Rhaphithamnus spinosus,Rhaphithamnus,sin_cambio,alta,Sin observaciones
a15,a15,Arundo donax,Arundo donax,Arundo donax,Arundo donax,Arundo,sin_cambio,alta,Sin observaciones
ae,ae,arvejilla,arvejilla,Adesmia tenella,Adesmia tenella,Adesmia,sin_cambio,alta,Sin observaciones
at,at,arvejilla,arvejilla,Avena barbata,Avena barbata,Avena,sin_cambio,alta,Sin observaciones
v13,v13,arvejilla,arvejilla,Vicia sativa,Vicia sativa,Vicia,sin_cambio,alta,Sin observaciones
a41,a41,Astelia pumila,Astelia pumila,Astelia pumila,Astelia pumila,Astelia,sin_cambio,alta,Sin observaciones
so,so,Asteranthera ovata,Asteranthera ovata,Asteranthera ovata,Asteranthera ovata,Asteranthera,sin_cambio,alta,Sin observaciones
A32,A32,Atriplex clivicola,Atriplex clivicola,Atriplex clivicola,Atriplex clivicola,Atriplex,sin_cambio,alta,Sin observaciones
A14,A14,Atriplex madariagae,Atriplex madariagae,Atriplex madariagae,Atriplex madariagae,Atriplex,sin_cambio,alta,Sin observaciones
An,An,Atriplex nummularia,Atriplex nummularia,Atriplex nummularia,Atriplex nummularia,Atriplex,sin_cambio,alta,Sin observaciones
a27,a27,Atriplex semibaccata,Atriplex semibaccata,Atriplex semibaccata,Atriplex semibaccata,Atriplex,sin_cambio,alta,Sin observaciones
A35,A35,Atriplex vulgatissima,Atriplex vulgatissima,Atriplex vulgatissima,Atriplex vulgatissima,Atriplex,sin_cambio,alta,Sin observaciones
LD,LD,avellanillo,avellanillo,Lomatia dentata,Lomatia dentata,Lomatia,sin_cambio,alta,Sin observaciones
GA,GA,avellano,avellano,Gevuina avellana,Gevuina avellana,Gevuina,sin_cambio,alta,Sin observaciones
vf,vf,avena,avena,Avena fatua,Avena fatua,Avena,sin_cambio,alta,Sin observaciones
a42,a42,Avena sativa,Avena sativa,Avena sativa,Avena sativa,Avena,sin_cambio,alta,Sin observaciones
of,of,Azolla filiculoides,Azolla filiculoides,Azolla filiculoides,Azolla filiculoides,Azolla,sin_cambio,alta,Sin observaciones
a59,a59,Azorella atacamensis,Azorella atacamensis,Azorella atacamensis,Azorella atacamensis,Azorella,sin_cambio,alta,Sin observaciones
a28,a28,Azorella cryptantha,Azorella cryptantha,Azorella cryptantha,Azorella cryptantha,Azorella,sin_cambio,alta,Sin observaciones
a29,a29,Azorella monantha,Azorella monantha,Azorella monantha,Azorella monantha,Azorella,sin_cambio,alta,Sin observaciones
Ar1,Ar1,Azorella ruizii,Azorella ruizii,Azorella ruizii,Azorella ruizii,Azorella,sin_cambio,alta,Sin observaciones
a30,a30,Azorella trifoliolata,Azorella trifoliolata,Azorella trifoliolata,Azorella trifoliolata,Azorella,sin_cambio,alta,Sin observaciones
a45,a45,Azorella trifurcata,Azorella trifurcata,Azorella trifurcata,Azorella trifurcata,Azorella,sin_cambio,alta,Sin observaciones
b19,b19,Baccharis acaulis,Baccharis acaulis,Baccharis acaulis,Baccharis acaulis,Baccharis,sin_cambio,alta,Sin observaciones
B1,B1,Baccharis alnifolia,Baccharis alnifolia,Baccharis alnifolia,Baccharis alnifolia,Baccharis,sin_cambio,alta,Sin observaciones
B8,B8,Baccharis glutinosa,Baccharis glutinosa,Baccharis glutinosa,Baccharis glutinosa,Baccharis,sin_cambio,alta,Sin observaciones
b20,b20,Baccharis juncea,Baccharis juncea,Baccharis juncea,Baccharis juncea,Baccharis,sin_cambio,alta,Sin observaciones
Rk,Rk,Baccharis macraei,Baccharis macraei,Baccharis macraei,Baccharis macraei,Baccharis,sin_cambio,alta,Sin observaciones
Bg,Bg,Baccharis magellanica,Baccharis magellanica,Baccharis magellanica,Baccharis magellanica,Baccharis,sin_cambio,alta,Sin observaciones
B2,B2,Baccharis neaei,Baccharis neaei,Baccharis neaei,Baccharis neaei,Baccharis,sin_cambio,alta,Sin observaciones
Bv,Bv,Baccharis obovata,Baccharis obovata,Baccharis obovata,Baccharis obovata,Baccharis,sin_cambio,alta,Sin observaciones
Ym,Ym,Baccharis paniculata,Baccharis paniculata,Baccharis paniculata,Baccharis paniculata,Baccharis,sin_cambio,alta,Sin observaciones
Bp,Bp,Baccharis patagonica,Baccharis patagonica,Baccharis patagonica,Baccharis patagonica,Baccharis,sin_cambio,alta,Sin observaciones
b13,b13,Baccharis pingraea,Baccharis pingraea,Baccharis pingraea,Baccharis pingraea,Baccharis,sin_cambio,alta,Sin observaciones
Bk,Bk,Baccharis scandens,Baccharis scandens,Baccharis scandens,Baccharis scandens,Baccharis,sin_cambio,alta,Sin observaciones
Bq,Bq,Baccharis sp.,Baccharis sp.,Baccharis sp.,Baccharis sp.,Baccharis,sin_cambio,alta,Sin observaciones
B3,B3,Baccharis spartioides,Baccharis spartioides,Baccharis spartioides,Baccharis spartioides,Baccharis,sin_cambio,alta,Sin observaciones
B11,B11,Baccharis tricuneata,Baccharis tricuneata,Baccharis tricuneata,Baccharis tricuneata,Baccharis,sin_cambio,alta,Sin observaciones
B12,B12,Baccharis zoellneri,Baccharis zoellneri,Baccharis zoellneri,Baccharis zoellneri,Baccharis,sin_cambio,alta,Sin observaciones
Hb,Hb,bailahuén,bailahuén,Haplopappus baylahuen,Haplopappus baylahuen,Haplopappus,sin_cambio,alta,Sin observaciones
Hg,Hg,bailahuén,bailahuén,Haplopappus remyanus,Haplopappus remyanus,Haplopappus,sin_cambio,alta,Sin observaciones
bk,bk,Bakerolimon plumosum,Bakerolimon plumosum,Bakerolimon plumosum,Bakerolimon plumosum,Bakerolimon,sin_cambio,alta,Sin observaciones
EH,EH,barraco,barraco,Escallonia illinita,Escallonia illinita,Escallonia,sin_cambio,alta,Sin observaciones
b24,b24,Bellis perennis,Bellis perennis,Bellis perennis,Bellis perennis,Bellis,sin_cambio,alta,Sin observaciones
BM,BM,belloto del norte,belloto del norte,Beilschmiedia miersii,Beilschmiedia miersii,Beilschmiedia,sin_cambio,alta,Sin observaciones
BB,BB,belloto del sur,belloto del sur,Beilschmiedia berteroana,Beilschmiedia berteroana,Beilschmiedia,sin_cambio,alta,Sin observaciones
B13,B13,Berberis microphylla,Berberis microphylla,Berberis microphylla,Berberis microphylla,Berberis,sin_cambio,alta,Sin observaciones
Bm,Bm,Berberis montana,Berberis montana,Berberis montana,Berberis montana,Berberis,sin_cambio,alta,Sin observaciones
Gi,Gi,bio bio,bio bio,Gymnophyton isatidicarpum,Gymnophyton isatidicarpum,Gymnophyton,sin_cambio,alta,Sin observaciones
b23,b23,Bolax caespitosa,Bolax caespitosa,Bolax caespitosa,Bolax caespitosa,Bolax,sin_cambio,alta,Sin observaciones
bg,bg,Bolax gummifera,Bolax gummifera,Bolax gummifera,Bolax gummifera,Bolax,sin_cambio,alta,Sin observaciones
b26,b26,Bolboschoenus maritimus,Bolboschoenus maritimus,Bolboschoenus maritimus,Bolboschoenus maritimus,Bolboschoenus,sin_cambio,alta,Sin observaciones
PB,PB,boldo,boldo,Peumus boldus,Peumus boldus,Peumus,sin_cambio,alta,Sin observaciones
KO,KO,bollén,bollén,Kageneckia oblonga,Kageneckia oblonga,Kageneckia,sin_cambio,alta,Sin observaciones
b15,b15,Brassica nigra,Brassica nigra,Brassica nigra,Brassica nigra,Brassica,sin_cambio,alta,Sin observaciones
b16,b16,Brassica rapa,Brassica rapa,Brassica rapa,Brassica rapa,Brassica,sin_cambio,alta,Sin observaciones
b25,b25,Brassica sp.,Brassica sp.,Brassica sp.,Brassica sp.,Brassica,sin_cambio,alta,Sin observaciones
Th,Th,brea,brea,Tessaria absinthioides,Tessaria absinthioides,Tessaria,sin_cambio,alta,Sin observaciones
B5,B5,Bridgesia incisifolia,Bridgesia incisifolia,Bridgesia incisifolia,Bridgesia incisifolia,Bridgesia,sin_cambio,alta,Sin observaciones
bx,bx,bromus,bromus,Bromus sp.,Bromus sp.,Bromus,sin_cambio,alta,Sin observaciones
bh,bh,Bromus hordeaceus,Bromus hordeaceus,Bromus hordeaceus,Bromus hordeaceus,Bromus,sin_cambio,alta,Sin observaciones
b18,b18,Bromus rigidus,Bromus rigidus,Bromus rigidus,Bromus rigidus,Bromus,sin_cambio,alta,Sin observaciones
bs1,bs1,Bryophyta spp.,Bryophyta spp.,Bryophyta spp.,Bryophyta spp.,Bryophyta,sin_cambio,alta,Sin observaciones
Us,Us,Buddleja suaveolens,Buddleja suaveolens,Buddleja suaveolens,Buddleja suaveolens,Buddleja,sin_cambio,alta,Sin observaciones
Ax,Ax,cachiyuyo,cachiyuyo,Atriplex atacamensis,Atriplex atacamensis,Atriplex,sin_cambio,alta,Sin observaciones
Xd,Xd,cachiyuyo,cachiyuyo,Atriplex deserticola,Atriplex deserticola,Atriplex,sin_cambio,alta,Sin observaciones
Hf,Hf,cacho de cabra,cacho de cabra,Haplopappus foliosus,Haplopappus foliosus,Haplopappus,sin_cambio,alta,Sin observaciones
az,az,cadilla,cadilla,Acaena magellanica,Acaena magellanica,Acaena,sin_cambio,alta,Sin observaciones
ao,ao,cadilla,cadilla,Acaena ovalifolia,Acaena ovalifolia,Acaena,sin_cambio,alta,Sin observaciones
Lg,Lg,Caesalpinia angulata,Caesalpinia angulata,Caesalpinia angulata,Caesalpinia angulata,Caesalpinia,sin_cambio,alta,Sin observaciones
C20,C20,Caesalpinia aphylla,Caesalpinia aphylla,Caesalpinia aphylla,Caesalpinia aphylla,Caesalpinia,sin_cambio,alta,Sin observaciones
Bb,Bb,calafate,calafate,Berberis buxifolia,Berberis buxifolia,Berberis,sin_cambio,alta,Sin observaciones
Nx,Nx,calahuala,calahuala,Nassauvia axillaris,Nassauvia axillaris,Nassauvia,sin_cambio,alta,Sin observaciones
wg,wg,calahuala,calahuala,Rumohra adiantiformis,Rumohra adiantiformis,Rumohra,sin_cambio,alta,Sin observaciones
tL,tL,Calanchuca,Calanchuca,Tillandsia landbeckii,Tillandsia landbeckii,Tillandsia,sin_cambio,alta,Sin observaciones
tM,tM,Calanchuca,Calanchuca,Tillandsia marconae,Tillandsia marconae,Tillandsia,sin_cambio,alta,Sin observaciones
jÃ,jÃ,Calandrinia cymosa,Calandrinia cymosa,Calandrinia cymosa,Calandrinia cymosa,Calandrinia,sin_cambio,alta,Sin observaciones
c20,c20,Calandrinia picta,Calandrinia picta,Calandrinia picta,Calandrinia picta,Calandrinia,sin_cambio,alta,Sin observaciones
ws,ws,Calandrinia sp.,Calandrinia sp.,Calandrinia sp.,Calandrinia sp.,Calandrinia,sin_cambio,alta,Sin observaciones
c47,c47,Calceolaria pinifolia,Calceolaria pinifolia,Calceolaria pinifolia,Calceolaria pinifolia,Calceolaria,sin_cambio,alta,Sin observaciones
Ip,Ip,Calceolaria polifolia,Calceolaria polifolia,Calceolaria polifolia,Calceolaria polifolia,Calceolaria,sin_cambio,alta,Sin observaciones
Pn,Pn,Calceolaria pubescens,Calceolaria pubescens,Calceolaria pubescens,Calceolaria pubescens,Calceolaria,sin_cambio,alta,Sin observaciones
ks,ks,Calceolaria sp.,Calceolaria sp.,Calceolaria sp.,Calceolaria sp.,Calceolaria,sin_cambio,alta,Sin observaciones
gl,gl,Calceolaria verbascifolia,Calceolaria verbascifolia,Calceolaria verbascifolia,Calceolaria verbascifolia,Calceolaria,sin_cambio,alta,Sin observaciones
c21,c21,Calliandra chilensis,Calliandra chilensis,Calliandra chilensis,Calliandra chilensis,Calliandra,sin_cambio,alta,Sin observaciones
c36,c36,calta de turbera,calta de turbera,Caltha appendiculata,Caltha appendiculata,Caltha,sin_cambio,alta,Sin observaciones
c57,c57,Caltha sagittata,Caltha sagittata,Caltha sagittata,Caltha sagittata,Caltha,sin_cambio,alta,Sin observaciones
cs,cs,Caltha sagittata,Caltha sagittata,Caltha sagittata,Caltha sagittata,Caltha,sin_cambio,alta,Sin observaciones
bW,bW,Candelabro,Candelabro,Browningia candelaris,Browningia candelaris,Browningia,sin_cambio,alta,Sin observaciones
DW,DW,canelo,canelo,Drimys winteri,Drimys winteri,Drimys,sin_cambio,alta,Sin observaciones
Da,Da,canelo enano,canelo enano,Drimys andina,Drimys andina,Drimys,sin_cambio,alta,Sin observaciones
bd,bd,Capsella bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,Capsella bursa-pastoris,Capsella,sin_cambio,alta,Sin observaciones
CD,CD,carbonillo,carbonillo,Cordia decandra,Cordia decandra,Cordia,sin_cambio,alta,Sin observaciones
cu,cu,cardilla,cardilla,Carthamus lanatus,Carthamus lanatus,Carthamus,sin_cambio,alta,Sin observaciones
kn,kn,cardilla,cardilla,Carduus pycnocephalus,Carduus pycnocephalus,Carduus,sin_cambio,alta,Sin observaciones
C5,C5,cardo,cardo,Cirsium vulgare,Cirsium vulgare,Cirsium,sin_cambio,alta,Sin observaciones
pC,pC,cardón,cardón,Puya chilensis,Puya chilensis,Puya,sin_cambio,alta,Sin observaciones
ca1,ca1,Carex aematorhyncha,Carex aematorhyncha,Carex aematorhyncha,Carex aematorhyncha,Carex,sin_cambio,alta,Sin observaciones
c58,c58,Carex canescens,Carex canescens,Carex canescens,Carex canescens,Carex,sin_cambio,alta,Sin observaciones
c59,c59,Carex darwinii,Carex darwinii,Carex darwinii,Carex darwinii,Carex,sin_cambio,alta,Sin observaciones
kc,kc,Carex decidua,Carex decidua,Carex decidua,Carex decidua,Carex,sin_cambio,alta,Sin observaciones
cx,cx,Carex gayana,Carex gayana,Carex gayana,Carex gayana,Carex,sin_cambio,alta,Sin observaciones
c51,c51,Carex magellanica,Carex magellanica,Carex magellanica,Carex magellanica,Carex,sin_cambio,alta,Sin observaciones
zk,zk,Carex maritima,Carex maritima,Carex maritima,Carex maritima,Carex,sin_cambio,alta,Sin observaciones
c52,c52,Carex microglochin,Carex microglochin,Carex microglochin,Carex microglochin,Carex,sin_cambio,alta,Sin observaciones
fj,fj,Carex pleioneura,Carex pleioneura,Carex pleioneura,Carex pleioneura,Carex,sin_cambio,alta,Sin observaciones
c53,c53,Carex sorianoi,Carex sorianoi,Carex sorianoi,Carex sorianoi,Carex,sin_cambio,alta,Sin observaciones
kx,kx,Carex sp.,Carex sp.,Carex sp.,Carex sp.,Carex,sin_cambio,alta,Sin observaciones
c23,c23,Carex subantarctica,Carex subantarctica,Carex subantarctica,Carex subantarctica,Carex,sin_cambio,alta,Sin observaciones
c24,c24,Carex vallis-pulchrae,Carex vallis-pulchrae,Carex vallis-pulchrae,Carex vallis-pulchrae,Carex,sin_cambio,alta,Sin observaciones
c54,c54,Carpha schoenoides,Carpha schoenoides,Carpha schoenoides,Carpha schoenoides,Carpha,sin_cambio,alta,Sin observaciones
Lx,Lx,carpiche,carpiche,Lycium minutifolium,Lycium minutifolium,Lycium,sin_cambio,alta,Sin observaciones
CS,CS,castaño,castaño,Castanea sativa,Castanea sativa,Castanea,sin_cambio,alta,Sin observaciones
fv,fv,Centipeda elatinoides,Centipeda elatinoides,Centipeda elatinoides,Centipeda elatinoides,Centipeda,sin_cambio,alta,Sin observaciones
Nj,Nj,cepacaballo cadillo,cepacaballo cadillo,Acaena alpina,Acaena alpina,Acaena,sin_cambio,alta,Sin observaciones
cc,cc,cepa caballo trunes,cepa caballo trunes,Acaena splendens,Acaena splendens,Acaena,sin_cambio,alta,Sin observaciones
ea,ea,Cerastium arvense,Cerastium arvense,Cerastium arvense,Cerastium arvense,Cerastium,sin_cambio,alta,Sin observaciones
Dt,Dt,chacay,chacay,Discaria trinervis,Discaria trinervis,Discaria,sin_cambio,alta,Sin observaciones
Ds,Ds,chacay,chacay,Discaria serratifolia,Discaria serratifolia,Discaria,sin_cambio,alta,Sin observaciones
Dc,Dc,chacay,chacay,Discaria chacaye,Discaria chacaye,Discaria,sin_cambio,alta,Sin observaciones
Su,Su,Chachacoma,Chachacoma,Senecio nutans,Senecio nutans,Senecio,sin_cambio,alta,Sin observaciones
ch,ch,Chaetanthera chilensis,Chaetanthera chilensis,Chaetanthera chilensis,Chaetanthera chilensis,Chaetanthera,sin_cambio,alta,Sin observaciones
